region_id,cell_id,cluster
UPMC_c001_v001_r001_reg001,4073,1
UPMC_c001_v001_r001_reg001,870,1
UPMC_c001_v001_r001_reg001,2117,1
UPMC_c001_v001_r001_reg001,1588,1
UPMC_c001_v001_r001_reg001,2176,1
UPMC_c001_v001_r001_reg001,3418,1
UPMC_c001_v001_r001_reg001,1457,0
UPMC_c001_v001_r001_reg001,705,1
UPMC_c001_v001_r001_reg001,2771,0
UPMC_c001_v001_r001_reg001,247,1
UPMC_c001_v001_r001_reg001,1123,0
UPMC_c001_v001_r001_reg001,2356,1
UPMC_c001_v001_r001_reg001,2936,1
UPMC_c001_v001_r001_reg001,1712,1
UPMC_c001_v001_r001_reg001,1099,1
UPMC_c001_v001_r001_reg001,3298,1
UPMC_c001_v001_r001_reg001,3676,1
UPMC_c001_v001_r001_reg001,415,1
UPMC_c001_v001_r001_reg001,1339,0
UPMC_c001_v001_r001_reg001,4140,1
UPMC_c001_v001_r001_reg001,2399,1
UPMC_c001_v001_r001_reg001,2535,1
UPMC_c001_v001_r001_reg001,4244,1
UPMC_c001_v001_r001_reg001,850,1
UPMC_c001_v001_r001_reg001,763,0
UPMC_c001_v001_r001_reg001,1052,1
UPMC_c001_v001_r001_reg001,3058,1
UPMC_c001_v001_r001_reg001,4089,1
UPMC_c001_v001_r001_reg001,929,1
UPMC_c001_v001_r001_reg001,791,1
UPMC_c001_v001_r001_reg001,3570,1
UPMC_c001_v001_r001_reg001,921,1
UPMC_c001_v001_r001_reg001,1343,1
UPMC_c001_v001_r001_reg001,105,1
UPMC_c001_v001_r001_reg001,2837,0
UPMC_c001_v001_r001_reg001,958,1
UPMC_c001_v001_r001_reg001,1892,0
UPMC_c001_v001_r001_reg001,1630,1
UPMC_c001_v001_r001_reg001,3528,1
UPMC_c001_v001_r001_reg001,2563,0
UPMC_c001_v001_r001_reg001,1730,1
UPMC_c001_v001_r001_reg001,3546,1
UPMC_c001_v001_r001_reg001,447,1
UPMC_c001_v001_r001_reg001,2767,0
UPMC_c001_v001_r001_reg001,43,1
UPMC_c001_v001_r001_reg001,256,1
UPMC_c001_v001_r001_reg001,2819,0
UPMC_c001_v001_r001_reg001,1542,1
UPMC_c001_v001_r001_reg001,995,1
UPMC_c001_v001_r001_reg001,2971,1
UPMC_c001_v001_r001_reg001,2380,1
UPMC_c001_v001_r001_reg001,3634,1
UPMC_c001_v001_r001_reg001,3384,1
UPMC_c001_v001_r001_reg001,1207,1
UPMC_c001_v001_r001_reg001,345,1
UPMC_c001_v001_r001_reg001,3011,1
UPMC_c001_v001_r001_reg001,3330,1
UPMC_c001_v001_r001_reg001,4238,1
UPMC_c001_v001_r001_reg001,3129,1
UPMC_c001_v001_r001_reg001,1992,1
UPMC_c001_v001_r001_reg001,3154,1
UPMC_c001_v001_r001_reg001,534,1
UPMC_c001_v001_r001_reg001,3635,1
UPMC_c001_v001_r001_reg001,1788,1
UPMC_c001_v001_r001_reg001,2490,1
UPMC_c001_v001_r001_reg001,1436,1
UPMC_c001_v001_r001_reg001,3291,1
UPMC_c001_v001_r001_reg001,839,1
UPMC_c001_v001_r001_reg001,3918,1
UPMC_c001_v001_r001_reg001,2242,1
UPMC_c001_v001_r001_reg001,4142,1
UPMC_c001_v001_r001_reg001,1332,1
UPMC_c001_v001_r001_reg001,1045,1
UPMC_c001_v001_r001_reg001,806,1
UPMC_c001_v001_r001_reg001,4217,1
UPMC_c001_v001_r001_reg001,2433,0
UPMC_c001_v001_r001_reg001,2240,0
UPMC_c001_v001_r001_reg001,954,1
UPMC_c001_v001_r001_reg001,990,1
UPMC_c001_v001_r001_reg001,3838,1
UPMC_c001_v001_r001_reg001,2745,1
UPMC_c001_v001_r001_reg001,4077,1
UPMC_c001_v001_r001_reg001,1299,1
UPMC_c001_v001_r001_reg001,4033,1
UPMC_c001_v001_r001_reg001,2679,1
UPMC_c001_v001_r001_reg001,1249,1
UPMC_c001_v001_r001_reg001,2874,1
UPMC_c001_v001_r001_reg001,3477,1
UPMC_c001_v001_r001_reg001,1262,1
UPMC_c001_v001_r001_reg001,2434,0
UPMC_c001_v001_r001_reg001,3523,1
UPMC_c001_v001_r001_reg001,1008,1
UPMC_c001_v001_r001_reg001,901,1
UPMC_c001_v001_r001_reg001,4294,1
UPMC_c001_v001_r001_reg001,291,1
UPMC_c001_v001_r001_reg001,2265,1
UPMC_c001_v001_r001_reg001,3136,1
UPMC_c001_v001_r001_reg001,344,1
UPMC_c001_v001_r001_reg001,2760,1
UPMC_c001_v001_r001_reg001,2813,1
UPMC_c001_v001_r001_reg001,720,1
UPMC_c001_v001_r001_reg001,2085,1
UPMC_c001_v001_r001_reg001,2501,1
UPMC_c001_v001_r001_reg001,4106,0
UPMC_c001_v001_r001_reg001,2025,0
UPMC_c001_v001_r001_reg001,3630,1
UPMC_c001_v001_r001_reg001,3393,1
UPMC_c001_v001_r001_reg001,3074,1
UPMC_c001_v001_r001_reg001,388,1
UPMC_c001_v001_r001_reg001,2106,1
UPMC_c001_v001_r001_reg001,1595,1
UPMC_c001_v001_r001_reg001,3532,1
UPMC_c001_v001_r001_reg001,1444,1
UPMC_c001_v001_r001_reg001,555,1
UPMC_c001_v001_r001_reg001,3227,1
UPMC_c001_v001_r001_reg001,2452,1
UPMC_c001_v001_r001_reg001,2491,0
UPMC_c001_v001_r001_reg001,4044,1
UPMC_c001_v001_r001_reg001,2040,1
UPMC_c001_v001_r001_reg001,2720,1
UPMC_c001_v001_r001_reg001,3375,1
UPMC_c001_v001_r001_reg001,3319,1
UPMC_c001_v001_r001_reg001,2777,1
UPMC_c001_v001_r001_reg001,355,1
UPMC_c001_v001_r001_reg001,2807,1
UPMC_c001_v001_r001_reg001,573,1
UPMC_c001_v001_r001_reg001,436,1
UPMC_c001_v001_r001_reg001,1171,1
UPMC_c001_v001_r001_reg001,2831,0
